Passengerid,Age,Fare,Sex,sibsp,Parch,Pclass,Survived
1068,20,36.75,1,0,0,2,0
1069,54,55.4417,0,1,0,1,0
1070,36,39,1,0,3,2,0
1071,64,83.1583,1,0,2,1,0
1072,30,13,0,0,0,2,0
1073,37,83.1583,0,1,1,1,0
1074,18,53.1,1,1,0,1,0
1075,28,7.75,0,0,0,3,0
1076,27,247.5208,1,1,1,1,0
1077,40,16,0,0,0,2,0
1078,21,21,1,0,1,2,0
1079,17,8.05,0,2,0,3,0
1080,28,69.55,1,8,2,3,0
1081,40,13,0,0,0,2,0
1082,34,26,0,1,0,2,0
1083,28,26,0,0,0,1,0
1084,11.5,14.5,0,1,1,3,0
1085,61,12.35,0,0,0,2,0
1086,8,32.5,0,0,2,2,0
1087,33,7.8542,0,0,0,3,0
1088,6,134.5,0,0,2,1,0
1089,18,7.775,1,0,0,3,0
1090,23,10.5,0,0,0,2,0
1091,28,8.1125,1,0,0,3,0
1092,28,15.5,1,0,0,3,0
1093,0.33,14.4,0,0,2,3,0
1094,47,227.525,0,1,0,1,0
1095,8,26,1,1,1,2,0
1096,25,10.5,0,0,0,2,0
1097,28,25.7417,0,0,0,1,0
1098,35,7.75,1,0,0,3,0
1099,24,10.5,0,0,0,2,0
1100,33,27.7208,1,0,0,1,0
1101,25,7.8958,0,0,0,3,0
1102,32,22.525,0,0,0,3,0
1103,28,7.05,0,0,0,3,0
1104,17,73.5,0,0,0,2,0
1105,60,26,1,1,0,2,0
1106,38,7.775,1,4,2,3,0
1107,42,42.5,0,0,0,1,0
1108,28,7.8792,1,0,0,3,0
1109,57,164.8667,0,1,1,1,0
1110,50,211.5,1,1,1,1,0
1111,28,8.05,0,0,0,3,0
1112,30,13.8583,1,1,0,2,0
1113,21,8.05,0,0,0,3,0
1114,22,10.5,1,0,0,2,0
1115,21,7.7958,0,0,0,3,0
1116,53,27.4458,1,0,0,1,0
1117,28,15.2458,1,0,2,3,0
1118,23,7.7958,0,0,0,3,0
1119,28,7.75,1,0,0,3,0
1120,40.5,15.1,0,0,0,3,0
1121,36,13,0,0,0,2,0
1122,14,65,0,0,0,2,0
1123,21,26.55,1,0,0,1,0
1124,21,6.4958,0,1,0,3,0
1125,28,7.8792,0,0,0,3,0
1126,39,71.2833,0,1,0,1,0
1127,20,7.8542,0,0,0,3,0
1128,64,75.25,0,1,0,1,0
1129,20,7.225,0,0,0,3,0
1130,18,13,1,1,1,2,0
1131,48,106.425,1,1,0,1,0
1132,55,27.7208,1,0,0,1,0
1133,45,30,1,0,2,2,0
1134,45,134.5,0,1,1,1,0
1135,28,7.8875,0,0,0,3,0
1136,28,23.45,0,1,2,3,0
1137,41,51.8625,0,1,0,1,0
1138,22,21,1,0,0,2,0
1139,42,32.5,0,1,1,2,0
1140,29,26,1,1,0,2,0
1141,28,14.4542,1,1,0,3,0
1142,0.92,27.75,1,1,2,2,0
1143,20,7.925,0,0,0,3,0
1144,27,136.7792,0,1,0,1,0
1145,24,9.325,0,0,0,3,0
1146,32.5,9.5,0,0,0,3,0
1147,28,7.55,0,0,0,3,0
1148,28,7.75,0,0,0,3,0
1149,28,8.05,0,0,0,3,0
1150,19,13,1,0,0,2,0
1151,21,7.775,0,0,0,3,0
1152,36.5,17.4,0,1,0,3,0
1153,21,7.8542,0,0,0,3,0
1154,29,23,1,0,2,2,0
1155,1,12.1833,1,1,1,3,0
1156,30,12.7375,0,0,0,2,0
1157,28,7.8958,0,0,0,3,0
1158,28,0,0,0,0,1,0
1159,28,7.55,0,0,0,3,0
1160,28,8.05,1,0,0,3,0
1161,17,8.6625,0,0,0,3,0
1162,46,75.2417,0,0,0,1,0
1163,28,7.75,0,0,0,3,0
1164,26,136.7792,1,1,0,1,0
1165,28,15.5,1,1,0,3,0
1166,28,7.225,0,0,0,3,0
1167,20,26,1,1,0,2,0
1168,28,10.5,0,0,0,2,0
1169,40,26,0,1,0,2,0
1170,30,21,0,1,0,2,0
1171,22,10.5,0,0,0,2,0
1172,23,8.6625,1,0,0,3,0
1173,0.75,13.775,0,1,1,3,0
1174,28,7.75,1,0,0,3,0
1175,9,15.2458,1,1,1,3,0
1176,2,20.2125,1,1,1,3,0
1177,36,7.25,0,0,0,3,0
1178,28,7.25,0,0,0,3,0
1179,24,82.2667,0,1,0,1,0
1180,28,7.2292,0,0,0,3,0
1181,28,8.05,0,0,0,3,0
1182,28,39.6,0,0,0,1,0
1183,30,6.95,1,0,0,3,0
1184,28,7.2292,0,0,0,3,0
1185,53,81.8583,0,1,1,1,0
1186,36,9.5,0,0,0,3,0
1187,26,7.8958,0,0,0,3,0
1188,1,41.5792,1,1,2,2,0
1189,28,21.6792,0,2,0,3,0
1190,30,45.5,0,0,0,1,0
1191,29,7.8542,0,0,0,3,0
1192,32,7.775,0,0,0,3,0
1193,28,15.0458,0,0,0,2,0
1194,43,21,0,0,1,2,0
1195,24,8.6625,0,0,0,3,0
1196,28,7.75,1,0,0,3,0
1197,64,26.55,1,1,1,1,0
1198,30,151.55,0,1,2,1,0
1199,0.83,9.35,0,0,1,3,0
1200,55,93.5,0,1,1,1,0
1201,45,14.1083,1,1,0,3,0
1202,18,8.6625,0,0,0,3,0
1203,22,7.225,0,0,0,3,0
1204,28,7.575,0,0,0,3,0
1205,37,7.75,1,0,0,3,0
1206,55,135.6333,1,0,0,1,0
1207,17,7.7333,1,0,0,3,0
1208,57,146.5208,0,1,0,1,0
1209,19,10.5,0,0,0,2,0
1210,27,7.8542,0,0,0,3,0
1211,22,31.5,0,2,0,2,0
1212,26,7.775,0,0,0,3,0
1213,25,7.2292,0,0,0,3,0
1214,26,13,0,0,0,2,0
1215,33,26.55,0,0,0,1,0
1216,39,211.3375,1,0,0,1,0
1217,23,7.05,0,0,0,3,0
1218,12,39,1,2,1,2,0
1219,46,79.2,0,0,0,1,0
1220,29,26,0,1,0,2,0
1221,21,13,0,0,0,2,0
1222,48,36.75,1,0,2,2,0
1223,39,29.7,0,0,0,1,0
1224,28,7.225,0,0,0,3,0
1225,19,15.7417,1,1,1,3,0
1226,27,7.8958,0,0,0,3,0
1227,30,26,0,0,0,1,0
1228,32,13,0,0,0,2,0
1229,39,7.2292,0,0,2,3,0
1230,25,31.5,0,0,0,2,0
1231,28,7.2292,0,0,0,3,0
1232,18,10.5,0,0,0,2,0
1233,32,7.5792,0,0,0,3,0
1234,28,69.55,0,1,9,3,0
1235,58,512.3292,1,0,1,1,0
1236,28,14.5,0,1,1,3,0
1237,16,7.65,1,0,0,3,0
1238,26,13,0,0,0,2,0
1239,38,7.2292,1,0,0,3,0
1240,24,13.5,0,0,0,2,0
1241,31,21,1,0,0,2,0
1242,45,63.3583,1,0,1,1,0
1243,25,10.5,0,0,0,2,0
1244,18,73.5,0,0,0,2,0
1245,49,65,0,1,2,2,0
1246,0.17,20.575,1,1,2,3,0
1247,50,26,0,0,0,1,0
1248,59,51.4792,1,2,0,1,0
1249,28,7.8792,0,0,0,3,0
1250,28,7.75,0,0,0,3,0
1251,30,15.55,1,1,0,3,0
1252,14.5,69.55,0,8,2,3,0
1253,24,37.0042,1,1,1,2,0
1254,31,21,1,0,0,2,0
1255,27,8.6625,0,0,0,3,0
1256,25,55.4417,1,1,0,1,0
1257,28,69.55,1,1,9,3,0
1258,28,14.4583,0,1,0,3,0
1259,22,39.6875,1,0,0,3,0
1260,45,59.4,1,0,1,1,0
1261,29,13.8583,0,0,0,2,0
1262,21,11.5,0,1,0,2,0
1263,31,134.5,1,0,0,1,0
1264,49,0,0,0,0,1,0
1265,44,13,0,0,0,2,0
1266,54,81.8583,1,1,1,1,0
1267,45,262.375,1,0,0,1,0
1268,22,8.6625,1,2,0,3,0
1269,21,11.5,0,0,0,2,0
1270,55,50,0,0,0,1,0
1271,5,31.3875,0,4,2,3,0
1272,28,7.75,0,0,0,3,0
1273,26,7.8792,0,0,0,3,0
1274,28,14.5,1,0,0,3,0
1275,19,16.1,1,1,0,3,0
1276,28,12.875,0,0,0,2,0
1277,24,65,1,1,2,2,0
1278,24,7.775,0,0,0,3,0
1279,57,13,0,0,0,2,0
1280,21,7.75,0,0,0,3,0
1281,6,21.075,0,3,1,3,0
1282,23,93.5,0,0,0,1,0
1283,51,39.4,1,0,1,1,0
1284,13,20.25,0,0,2,3,0
1285,47,10.5,0,0,0,2,0
1286,29,22.025,0,3,1,3,0
1287,18,60,1,1,0,1,0
1288,24,7.25,0,0,0,3,0
1289,48,79.2,1,1,1,1,0
1290,22,7.775,0,0,0,3,0
1291,31,7.7333,0,0,0,3,0
1292,30,164.8667,1,0,0,1,0
1293,38,21,0,1,0,2,0
1294,22,59.4,1,0,1,1,0
1295,17,47.1,0,0,0,1,0
1296,43,27.7208,0,1,0,1,0
1297,20,13.8625,0,0,0,2,0
1298,23,10.5,0,1,0,2,0
1299,50,211.5,0,1,1,1,0
1300,28,7.7208,1,0,0,3,0
1301,3,13.775,1,1,1,3,0
1302,28,7.75,1,0,0,3,0
1303,37,90,1,1,0,1,0
1304,28,7.775,1,0,0,3,0
1305,28,8.05,0,0,0,3,0
1306,39,108.9,1,0,0,1,0
1307,38.5,7.25,0,0,0,3,0
1308,28,8.05,0,0,0,3,0
1309,28,22.3583,0,1,1,3,0
